topology,seed,generation,hamming_diversity,population_divergence,best_fitness
custom,0,0,0.48803508771929827,0.3166666666666667,65.0
custom,0,1,0.4743070175438596,0.40219696969696966,67.0
custom,0,2,0.45919956140350876,0.4514962121212121,69.0
custom,0,3,0.45125877192982455,0.4551136363636364,69.0
custom,0,4,0.44284210526315787,0.45768939393939395,70.0
custom,0,5,0.4398092105263158,0.36104166666666665,71.0
custom,0,6,0.4123969298245614,0.38581439393939393,72.0
custom,0,7,0.3946644736842105,0.38482954545454545,73.0
custom,0,8,0.38762061403508774,0.3888068181818181,74.0
custom,0,9,0.3830394736842105,0.393030303030303,76.0
custom,0,10,0.38141228070175437,0.3500757575757576,77.0
custom,0,11,0.3670109649122807,0.36354166666666665,77.0
custom,0,12,0.35575,0.3625757575757576,78.0
custom,0,13,0.34905701754385965,0.3615151515151515,76.0
custom,0,14,0.34340789473684213,0.3595833333333333,77.0
custom,0,15,0.33963815789473684,0.3215340909090909,78.0
custom,0,16,0.33502192982456136,0.3350757575757575,79.0
custom,0,17,0.32829385964912283,0.3346969696969697,79.0
custom,0,18,0.32348245614035087,0.33390151515151517,79.0
custom,0,19,0.3222543859649123,0.3350378787878787,81.0
custom,0,20,0.32091228070175437,0.3028409090909091,82.0
custom,0,21,0.31639912280701754,0.3046969696969697,84.0
custom,0,22,0.3063026315789474,0.30719696969696964,83.0
custom,0,23,0.2979451754385965,0.3086174242424242,86.0
custom,0,24,0.29370833333333335,0.30929924242424245,84.0
custom,0,25,0.2911206140350877,0.2752462121212121,84.0
custom,0,26,0.28251096491228067,0.28111742424242425,85.0
custom,0,27,0.27763157894736845,0.2813636363636363,86.0
custom,0,28,0.2732236842105263,0.2804166666666667,86.0
custom,0,29,0.271375,0.280625,86.0
custom,0,30,0.2720745614035088,0.25530303030303025,86.0
custom,0,31,0.2598201754385965,0.2593939393939394,87.0
custom,0,32,0.24963377192982455,0.24967803030303026,87.0
custom,0,33,0.24361184210526315,0.24937499999999993,87.0
custom,0,34,0.24240570175438594,0.2509659090909091,87.0
custom,0,35,0.24003508771929824,0.2243939393939394,88.0
custom,0,36,0.22935526315789473,0.2240909090909091,89.0
custom,0,37,0.2186578947368421,0.22071969696969695,89.0
custom,0,38,0.2188486842105263,0.22168560606060608,90.0
custom,0,39,0.2094078947368421,0.21469696969696966,89.0
custom,0,40,0.19833771929824562,0.1890151515151515,90.0
custom,0,41,0.1926907894736842,0.1928598484848485,91.0
custom,0,42,0.18868201754385963,0.19320075757575758,91.0
custom,0,43,0.19000219298245613,0.19422348484848484,91.0
custom,0,44,0.18899561403508774,0.19155303030303034,91.0
custom,0,45,0.18679166666666666,0.1746401515151515,93.0
custom,0,46,0.18026973684210523,0.1740719696969697,93.0
custom,0,47,0.17410745614035086,0.17426136363636366,93.0
custom,0,48,0.16809868421052632,0.17054924242424238,93.0
custom,0,49,0.16567763157894738,0.1708143939393939,93.0
custom,0,50,0.16496929824561402,0.1566287878787879,93.0
custom,0,51,0.1589232456140351,0.15335227272727275,93.0
custom,0,52,0.15661842105263157,0.15170454545454545,93.0
custom,0,53,0.15489254385964912,0.15448863636363638,94.0
custom,0,54,0.15152192982456142,0.1527272727272727,94.0
custom,0,55,0.1493793859649123,0.1378598484848485,95.0
custom,0,56,0.14173026315789472,0.13524621212121213,95.0
custom,0,57,0.137015350877193,0.13683712121212124,96.0
