generation,strict_div_mean,strict_div_std,strict_div_ci_low,strict_div_ci_high,lax_div_mean,lax_div_std,lax_div_ci_low,lax_div_ci_high,mann_whitney_U,p_value,rank_biserial_r,cohens_d,strict_best_fit_mean,lax_best_fit_mean
0,0.499890,0.000992,0.499520,0.500260,0.499890,0.000992,0.499520,0.500260,450.0,1.000000e+00,0.0000,0.0000,63.20,63.20
1,0.487691,0.002985,0.486576,0.488805,0.486771,0.003014,0.485645,0.487896,555.0,1.223529e-01,-0.2333,0.3067,64.53,64.77
2,0.464125,0.006825,0.461577,0.466674,0.463439,0.006394,0.461052,0.465826,486.0,5.996895e-01,-0.0800,0.1038,66.23,66.70
3,0.436782,0.011827,0.432366,0.441199,0.430995,0.015768,0.425107,0.436883,543.5,1.691405e-01,-0.2078,0.4152,68.70,68.77
4,0.404715,0.017557,0.398159,0.411271,0.394124,0.023303,0.385423,0.402825,573.0,7.012659e-02,-0.2733,0.5133,70.87,70.77
5,0.369968,0.027084,0.359855,0.380081,0.354264,0.035269,0.341095,0.367434,552.0,1.334541e-01,-0.2267,0.4994,72.50,72.60
6,0.338007,0.031661,0.326184,0.349829,0.315675,0.042575,0.299777,0.331573,573.0,7.012659e-02,-0.2733,0.5952,74.00,74.53
7,0.308116,0.034800,0.295122,0.321110,0.287151,0.044143,0.270668,0.303634,584.0,4.841350e-02,-0.2978,0.5275,75.67,76.23
8,0.284315,0.037188,0.270429,0.298201,0.262340,0.041028,0.247020,0.277660,589.0,4.059500e-02,-0.3089,0.5613,76.77,77.20
9,0.261903,0.037636,0.247850,0.275957,0.241596,0.041836,0.225974,0.257218,573.0,7.012659e-02,-0.2733,0.5103,78.30,78.73
10,0.243364,0.034217,0.230588,0.256141,0.227929,0.040822,0.212686,0.243172,558.0,1.119869e-01,-0.2400,0.4098,79.50,80.13
11,0.230260,0.031010,0.218680,0.241839,0.208075,0.040318,0.193020,0.223130,605.0,2.236015e-02,-0.3444,0.6168,80.53,81.37
