seed,gen_0,gen_1,gen_2,gen_3,gen_4,gen_5,gen_6,gen_7,gen_8,gen_9,gen_10,gen_11,gen_12,gen_13,gen_14,gen_15,gen_16,gen_17,gen_18,gen_19,gen_20,gen_21,gen_22,gen_23,gen_24,gen_25,gen_26,gen_27,gen_28,gen_29,gen_30,gen_31,gen_32,gen_33,gen_34,gen_35,gen_36,gen_37,gen_38,gen_39,gen_40,gen_41,gen_42,gen_43,gen_44,gen_45,gen_46,gen_47,gen_48,gen_49,gen_50,gen_51,gen_52,gen_53,gen_54,gen_55,gen_56,gen_57,gen_58,gen_59,gen_60,gen_61,gen_62,gen_63,gen_64,gen_65,gen_66,gen_67,gen_68,gen_69,gen_70,gen_71,gen_72,gen_73,gen_74,gen_75,gen_76,gen_77,gen_78,gen_79,gen_80,gen_81,gen_82,gen_83,gen_84,gen_85,gen_86,gen_87,gen_88,gen_89,gen_90,gen_91,gen_92,gen_93,gen_94,gen_95,gen_96,gen_97,gen_98,gen_99,gen_100
0,0.501059,0.491935,0.467897,0.442697,0.412372,0.383382,0.330931,0.284899,0.242883,0.210610,0.187984,0.170503,0.177376,0.176208,0.159923,0.149489,0.144883,0.140085,0.140077,0.137467,0.125440,0.116663,0.111414,0.116737,0.114945,0.112556,0.116869,0.121364,0.115909,0.115416,0.109162,0.103756,0.083804,0.072687,0.068604,0.068455,0.065188,0.064400,0.056182,0.048255,0.048592,0.044661,0.041576,0.036747,0.037307,0.039083,0.039931,0.039877,0.033149,0.031477,0.033859,0.029549,0.026451,0.024640,0.022800,0.021770,0.021824,0.024087,0.023386,0.023889,0.022840,0.021426,0.024531,0.023818,0.025560,0.025479,0.023145,0.024485,0.022176,0.018657,0.018838,0.020335,0.020895,0.015992,0.017234,0.019206,0.017440,0.018267,0.014590,0.012598,0.011455,0.012214,0.013990,0.014709,0.017141,0.015378,0.017976,0.016257,0.010578,0.013749,0.014374,0.018196,0.013802,0.016473,0.013733,0.015400,0.012893,0.011529,0.011558,0.015657,0.016784
1,0.499992,0.493293,0.472000,0.445238,0.396362,0.337303,0.303505,0.280772,0.254010,0.237853,0.226032,0.199067,0.151093,0.127638,0.112762,0.115034,0.115323,0.121073,0.123002,0.122998,0.107333,0.095572,0.088388,0.085491,0.085685,0.085570,0.081396,0.084547,0.091503,0.088125,0.080230,0.081349,0.074523,0.075038,0.077487,0.069552,0.066141,0.069590,0.063737,0.066212,0.065564,0.060608,0.057101,0.051287,0.050531,0.044160,0.046010,0.044079,0.038838,0.037800,0.032715,0.030905,0.030418,0.028620,0.031386,0.028354,0.025606,0.015463,0.016424,0.019523,0.023578,0.022752,0.021671,0.022051,0.025073,0.027475,0.025333,0.029226,0.029804,0.027810,0.021972,0.021752,0.027507,0.025446,0.024891,0.027236,0.026081,0.026596,0.021913,0.019307,0.016046,0.015792,0.014644,0.014564,0.015095,0.016479,0.015931,0.016176,0.012661,0.014727,0.018380,0.016040,0.011673,0.012446,0.014202,0.013725,0.010838,0.012974,0.013337,0.018356,0.017376
2,0.500422,0.488089,0.467523,0.425451,0.361067,0.318630,0.270065,0.240927,0.238200,0.239848,0.226081,0.205752,0.181869,0.175190,0.161154,0.142879,0.133354,0.129416,0.114952,0.114832,0.108705,0.103034,0.095741,0.084020,0.085360,0.086996,0.078109,0.075451,0.067261,0.066705,0.066513,0.060758,0.061259,0.056566,0.060596,0.057933,0.051911,0.047000,0.045145,0.044776,0.043343,0.040038,0.036208,0.030172,0.030107,0.023238,0.020491,0.015422,0.018794,0.021659,0.020956,0.018400,0.017808,0.015588,0.019127,0.015851,0.014327,0.017560,0.018335,0.015459,0.017489,0.017113,0.015317,0.011655,0.012162,0.013554,0.018984,0.016873,0.013657,0.012657,0.015628,0.018042,0.019752,0.017679,0.015648,0.014174,0.011129,0.012158,0.016204,0.011626,0.013077,0.016075,0.016246,0.015420,0.014582,0.015925,0.015947,0.014059,0.016598,0.014552,0.021642,0.017291,0.014053,0.013501,0.012990,0.013194,0.015689,0.020345,0.020632,0.027156,0.027925
3,0.499970,0.486232,0.469505,0.454628,0.419305,0.382010,0.349570,0.317481,0.279996,0.267604,0.236612,0.201455,0.168398,0.154869,0.150238,0.136121,0.122107,0.106796,0.105271,0.113749,0.111634,0.111101,0.118768,0.115554,0.107501,0.105182,0.095879,0.092671,0.092125,0.092275,0.088501,0.084071,0.076600,0.076838,0.074182,0.072861,0.062610,0.063218,0.060616,0.061053,0.058943,0.053455,0.050598,0.047578,0.046057,0.042770,0.043725,0.040075,0.038838,0.039057,0.039954,0.039424,0.036436,0.035152,0.027743,0.026471,0.023689,0.023828,0.021248,0.020689,0.020976,0.023822,0.023535,0.020752,0.020479,0.019752,0.020782,0.015216,0.015147,0.018067,0.013905,0.015073,0.014873,0.014749,0.016657,0.018655,0.020566,0.019778,0.018081,0.014760,0.016576,0.014853,0.012313,0.013541,0.014121,0.014883,0.016679,0.016020,0.014481,0.013210,0.014133,0.015127,0.016259,0.016802,0.017044,0.020131,0.020859,0.020198,0.014301,0.015612,0.016968
4,0.500303,0.488455,0.459691,0.439980,0.403063,0.385081,0.350741,0.319356,0.288887,0.283790,0.283259,0.279111,0.267933,0.256788,0.249368,0.228289,0.209182,0.199125,0.188830,0.180661,0.172178,0.163194,0.153503,0.141614,0.131701,0.134295,0.134079,0.132374,0.125552,0.122747,0.112073,0.103048,0.090265,0.083127,0.076879,0.069459,0.061925,0.059459,0.050905,0.055816,0.056774,0.046925,0.050715,0.050838,0.042949,0.043646,0.041699,0.041396,0.041556,0.039970,0.038760,0.037048,0.029016,0.025061,0.016713,0.013889,0.016941,0.017075,0.015707,0.017352,0.011925,0.012766,0.008315,0.013933,0.014517,0.014008,0.016891,0.018226,0.016319,0.015077,0.014889,0.015024,0.013473,0.016457,0.015808,0.015620,0.014481,0.013436,0.012737,0.011998,0.014337,0.013816,0.014624,0.015408,0.020271,0.018814,0.015673,0.016127,0.020869,0.018014,0.020263,0.021642,0.018572,0.018067,0.014275,0.019152,0.016196,0.017059,0.012525,0.012034,0.014501
5,0.500190,0.489929,0.469719,0.456186,0.437727,0.404683,0.369976,0.321863,0.311481,0.286424,0.272426,0.251822,0.231214,0.213758,0.175198,0.157733,0.128838,0.117564,0.107099,0.107230,0.094869,0.096535,0.088202,0.081568,0.074644,0.068008,0.072691,0.071364,0.067345,0.073848,0.073091,0.069493,0.066523,0.056840,0.057246,0.057200,0.052218,0.055800,0.057578,0.056208,0.055042,0.046828,0.043806,0.044968,0.038719,0.033341,0.029768,0.032095,0.028275,0.027416,0.027331,0.024974,0.025455,0.024248,0.022311,0.020677,0.015188,0.013006,0.013145,0.016972,0.019766,0.020842,0.022834,0.024547,0.022467,0.017541,0.013657,0.011857,0.012149,0.013525,0.016216,0.015224,0.014040,0.013758,0.013010,0.014101,0.015739,0.019315,0.019507,0.018392,0.017735,0.013970,0.014170,0.012929,0.015424,0.013905,0.012962,0.012214,0.012558,0.016552,0.019176,0.017667,0.017178,0.018030,0.014897,0.013501,0.010014,0.009446,0.010291,0.010774,0.013349
6,0.501442,0.492018,0.466275,0.453099,0.427299,0.396525,0.352634,0.326337,0.293994,0.264828,0.241731,0.225679,0.210218,0.202836,0.198681,0.190663,0.178778,0.164792,0.157564,0.150875,0.141800,0.132349,0.114196,0.110430,0.104798,0.104887,0.105414,0.099135,0.101487,0.102103,0.094473,0.083467,0.071549,0.054061,0.046933,0.046509,0.045915,0.036976,0.034592,0.036382,0.034620,0.038077,0.038228,0.037657,0.040752,0.038612,0.032554,0.030228,0.026943,0.023372,0.018869,0.020428,0.020349,0.017459,0.017741,0.020402,0.020614,0.019352,0.016952,0.018947,0.020998,0.020828,0.023139,0.022665,0.025259,0.024836,0.027602,0.027727,0.025119,0.020574,0.015816,0.015008,0.017085,0.022418,0.021749,0.020503,0.017840,0.022293,0.022374,0.021810,0.018774,0.019422,0.016756,0.016113,0.013925,0.011046,0.012194,0.012626,0.017836,0.015152,0.014996,0.012994,0.011982,0.015477,0.016552,0.017580,0.015747,0.017806,0.021970,0.021343,0.021679
7,0.499323,0.486515,0.457147,0.416301,0.389430,0.342289,0.318646,0.298693,0.252933,0.190073,0.185095,0.164485,0.145974,0.132069,0.130220,0.129921,0.126828,0.125988,0.128994,0.127416,0.120287,0.103261,0.078499,0.067808,0.057949,0.055899,0.052741,0.049713,0.051721,0.049358,0.051873,0.046695,0.047794,0.048681,0.042691,0.043402,0.046386,0.043998,0.040451,0.042871,0.041539,0.042493,0.038772,0.040103,0.039240,0.037964,0.034135,0.031026,0.032026,0.028685,0.030032,0.024444,0.024568,0.025071,0.016984,0.012333,0.010867,0.013101,0.013337,0.010810,0.010234,0.009283,0.011026,0.017465,0.017624,0.018519,0.015012,0.014503,0.015947,0.018667,0.016283,0.015863,0.016388,0.014048,0.014469,0.012004,0.014545,0.012077,0.013040,0.015277,0.016646,0.018966,0.018364,0.018147,0.017166,0.020234,0.015402,0.017505,0.017901,0.017418,0.017679,0.014600,0.017527,0.016220,0.013749,0.015570,0.015828,0.011606,0.011905,0.011778,0.013901
8,0.499871,0.487984,0.466293,0.428814,0.389929,0.351293,0.308101,0.258663,0.212168,0.183315,0.205281,0.187079,0.169339,0.153685,0.148214,0.148301,0.147998,0.139384,0.134186,0.128921,0.131545,0.127018,0.124794,0.128873,0.127255,0.118117,0.112451,0.109479,0.102402,0.096174,0.087608,0.083287,0.076699,0.074075,0.072158,0.070055,0.067960,0.060481,0.051913,0.052354,0.048374,0.041931,0.038295,0.038455,0.035374,0.030489,0.029170,0.025242,0.025558,0.026301,0.027374,0.025982,0.024911,0.021747,0.022354,0.017958,0.021228,0.018838,0.015543,0.014232,0.015095,0.014392,0.014325,0.013509,0.017871,0.016974,0.016176,0.018501,0.013473,0.011626,0.012186,0.010055,0.009095,0.011337,0.008879,0.014774,0.011006,0.009659,0.009246,0.015145,0.016812,0.011586,0.015053,0.015305,0.015832,0.016301,0.017125,0.015624,0.016552,0.010570,0.010291,0.010063,0.010242,0.007531,0.012398,0.012222,0.012638,0.012857,0.011489,0.013354,0.012386
9,0.500739,0.489081,0.463160,0.431042,0.383410,0.286493,0.190580,0.133059,0.123822,0.119208,0.117693,0.127513,0.128739,0.129537,0.129430,0.134180,0.138578,0.132699,0.128438,0.121014,0.110394,0.098212,0.080630,0.078602,0.072341,0.069525,0.064323,0.058644,0.049889,0.055208,0.054036,0.052671,0.052333,0.051745,0.046206,0.041891,0.041541,0.039188,0.033295,0.031333,0.031034,0.031824,0.032713,0.034608,0.033384,0.036444,0.030317,0.025198,0.023592,0.019333,0.016610,0.016416,0.013578,0.011794,0.009887,0.009782,0.011994,0.016040,0.017046,0.016343,0.016402,0.016877,0.016956,0.015731,0.017230,0.017129,0.019246,0.019044,0.019907,0.020222,0.021434,0.018582,0.019549,0.016570,0.015436,0.016259,0.016352,0.017838,0.016879,0.014125,0.011455,0.012909,0.014648,0.016558,0.016867,0.015754,0.015986,0.016436,0.018998,0.017699,0.014703,0.013394,0.013186,0.015844,0.011941,0.010851,0.012786,0.016032,0.016325,0.012822,0.018499
